clade,order,family,genus,cluster,NucleicAcid,species
Circo,NA,Circoviridae,NA,Circo,ssDNA,uncultured circovirus
Circo,NA,NA,NA,Circo,ssDNA,Mosquito circovirus
Gemini,NA,Geminiviridae,NA,Gemini,ssDNA,Honeysuckle yellow vein mosaic virus
Parvo,NA,Parvoviridae,NA,Parvo,ssDNA,Dipteran ambidensovirus 1
Bunya-Arena,NA,NA,NA,Bunya-Arena_unclass,ssRNA(-),Culex phasma-like virus
Bunya-Arena,NA,NA,NA,Bunya-Arena_unclass,ssRNA(-),Bunyaviridae environmental sample
Bunya-Arena,Bunyavirales,Peribunyaviridae,Orthobunyavirus,Peribunya,ssRNA(-),Koongol virus
Bunya-Arena,Bunyavirales,Peribunyaviridae,Orthobunyavirus,Peribunya,ssRNA(-),Oropouche virus
Bunya-Arena,Bunyavirales,Peribunyaviridae,NA,Peribunya,ssRNA(-),Shuangao Insect Virus 3
Bunya-Arena,Bunyavirales,Phasmaviridae,Feravirus,Phasma,ssRNA(-),Ferak virus
Bunya-Arena,Bunyavirales,Phasmaviridae,Orthophasmavirus,Phasma,ssRNA(-),Kigluaik phantom virus
Bunya-Arena,Bunyavirales,Phasmaviridae,Orthophasmavirus,Phasma,ssRNA(-),Wuhan Mosquito Virus 1
Bunya-Arena,Bunyavirales,Phenuiviridae,Phasivirus,Phenui,ssRNA(-),Phasi Charoen-like virus
Bunya-Arena,Bunyavirales,Phenuiviridae,Phasivirus,Phenui,ssRNA(-),Badu virus
Bunya-Arena,Bunyavirales,Phenuiviridae,Phasivirus,Phenui,ssRNA(-),Wutai Mosquito Virus
Bunya-Arena,Bunyavirales,Phenuiviridae,Goukovirus,Phenui,ssRNA(-),Candiru virus
Mono-Chu,NA,Chuviridae ,Mivirus,Chu ,ssRNA(-),Imjin River virus 1
Mono-Chu,NA,Chuviridae ,NA,Chu ,ssRNA(-),Wuhan Mosquito Virus 8
Mono-Chu,NA,Chuviridae,Chuvirus,Chu ,ssRNA(-),Wuhan Mosquito Virus 8
Mono-Chu,NA,NA,NA,Mono-Chu_unclass,ssRNA(-),Hubei rhabdo-like virus 1
Bunya-Arena,Bunyavirales,Peribunyaviridae,NA,Peribunya,ssRNA(-),Xinzhou Mosquito Virus
Mono-Chu,Mononegavirales,Rhabdoviridae,Ephemerovirus,Rhabdo,ssRNA(-),Bovine fever ephemerovirus
Mono-Chu,Mononegavirales,Rhabdoviridae,NA,Rhabdo,ssRNA(-),Culex tritaeniorhynchus rhabdovirus
Mono-Chu,Mononegavirales,Rhabdoviridae,Hapavirus,Rhabdo,ssRNA(-),Gray Lodge virus
Mono-Chu,Mononegavirales,Rhabdoviridae,NA,Rhabdo,ssRNA(-),Inhangapi virus
Mono-Chu,Mononegavirales,Rhabdoviridae,NA,Rhabdo,ssRNA(-),Lye Green virus
Mono-Chu,Mononegavirales,Rhabdoviridae,NA,Rhabdo,ssRNA(-),Merida virus
Mono-Chu,Mononegavirales,Rhabdoviridae,Sripuvirus,Rhabdo,ssRNA(-),Oak-Vale virus
Mono-Chu,Mononegavirales,Rhabdoviridae,NA,Rhabdo,ssRNA(-),Wuhan Mosquito Virus 9
Mono-Chu,Mononegavirales,Rhabdoviridae,NA,Rhabdo,ssRNA(-),Wuhan Ant Virus
Mono-Chu,Mononegavirales,Rhabdoviridae,NA,Rhabdo,ssRNA(-),Drosophila busckii rhabdovirus
Mono-Chu,Mononegavirales,Rhabdoviridae,NA,Rhabdo,ssRNA(-),Drosophila subobscura rhabdovirus
Mono-Chu,Mononegavirales,Rhabdoviridae,NA,Rhabdo,ssRNA(-),Puerto Almendras virus
Mono-Chu,Mononegavirales,Rhabdoviridae,NA,Rhabdo,ssRNA(-),Scophthalmus maximus rhabdovirus
Mono-Chu,Mononegavirales,Rhabdoviridae,Sripuvirus,Rhabdo,ssRNA(-),Almpiwar sripuvirus
Mono-Chu,Mononegavirales,Xinmoviridae,Anphevirus,Xinmo,ssRNA(-),Xincheng Mosquito Virus
Orthomyxo,NA,Orthomyxoviridae,Quaranjavirus,Orthomyxo,ssRNA(-),Wuhan Mosquito Virus 4
Orthomyxo,NA,Orthomyxoviridae,Quaranjavirus,Orthomyxo,ssRNA(-),Wuhan Mosquito Virus 6
Orthomyxo,NA,Orthomyxoviridae,NA,Orthomyxo,ssRNA(-),Quaranfil virus
Orthomyxo,NA,Orthomyxoviridae,NA,Orthomyxo,ssRNA(-),Wellfleet Bay virus
Paramyxo,NA,Paramyxoviridae,NA,Paramyxo,ssRNA(-),Newcastle disease virus
Luteo-Sobemo,NA,Barnaviridae,Barnavirus,Barna,ssRNA(+),Rhizoctonia solani barnavirus 1
Nido,NA,Coronaviridae,NA,Corona,ssRNA(+),Avian coronavirus
Nido,NA,Coronaviridae,NA,Corona,ssRNA(+),Porcine torovirus
Nido,NA,Coronaviridae,NA,Corona,ssRNA(+),White bream virus
Flavi,NA,Flaviviridae,NA,Flavi,ssRNA(+),Xishuangbanna aedes flavivirus
Flavi,NA,Flaviviridae,Pegivirus,Flavi,ssRNA(+),Bat pegivirus
Flavi,NA,Flaviviridae,NA,Flavi,ssRNA(+),Tick-borne encephalitis virus
Flavi,NA,Flaviviridae,NA,Flavi,ssRNA(+),Usutu virus
Hepe-Virga,Tymovirales,Alphaflexiviridae,Botrexvirus,Alphaflexi,ssRNA(+),Botrytis virus X
Hepe-Virga,Tymovirales,Betaflexiviridae,NA,Betaflexi,ssRNA(+),Carrot betaflexivirus 1
Hepe-Virga,NA,Bromoviridae,NA,Bromo,ssRNA(+),Ageratum latent virus
Hepe-Virga,NA,Bromoviridae,NA,Bromo,ssRNA(+),Amazon lily mild mottle virus
Hepe-Virga,NA,Bromoviridae,NA,Bromo,ssRNA(+),Cucumber mosaic virus
Hepe-Virga,NA,Bromoviridae,NA,Bromo,ssRNA(+),Melandrium yellow fleck virus
Hepe-Virga,NA,Bromoviridae,NA,Bromo,ssRNA(+),Parietaria mottle virus
Hepe-Virga,NA,Bromoviridae,NA,Bromo,ssRNA(+),Tomato necrotic streak virus
Hepe-Virga,NA,Bromoviridae,Ilarvirus,Bromo,ssRNA(+),Grapevine virus S
Hepe-Virga,NA,Bromoviridae,Ilarvirus,Bromo,ssRNA(+),Tobacco streak virus
Hepe-Virga,NA,Closteroviridae,NA,Clostero,ssRNA(+),Blackberry yellow vein-associated virus
Hepe-Virga,NA,Closteroviridae,NA,Clostero,ssRNA(+),Carrot yellow leaf virus
Hepe-Virga,NA,Closteroviridae,NA,Clostero,ssRNA(+),Tobacco virus 1
Hepe-Virga,NA,Closteroviridae,Crinivirus,Clostero,ssRNA(+),Tetterwort vein chlorosis virus
Hepe-Virga,Tymovirales,NA,NA,Flexi,ssRNA(+),Rhizoctonia solani flexivirus 1
Hepe-Virga,NA,NA,NA,Hepe-virga_unclass,ssRNA(+),Aedes camptorhynchus negev-like virus
Hepe-Virga,NA,NA,NA,Hepe-virga_unclass,ssRNA(+),Araticum virus
Hepe-Virga,NA,NA,NA,Hepe-virga_unclass,ssRNA(+),Hubei virga-like virus 2
Hepe-Virga,NA,NA,Negevirus,Negev,ssRNA(+),Negev virus
Hepe-Virga,NA,NA,Negevirus,Negev,ssRNA(+),Negev-like virus #174
Hepe-Virga,NA,NA,NA,Negev,ssRNA(+),Biggievirus Mos11
Hepe-Virga,NA,NA,Negevirus,Negev,ssRNA(+),Culex negev-like virus 1
Hepe-Virga,NA,NA,Negevirus,Negev,ssRNA(+),Daeseongdong virus 1
Hepe-Virga,NA,NA,Negevirus,Negev,ssRNA(+),Diaphorina citri associated C virus
Hepe-Virga,NA,NA,Negevirus,Negev,ssRNA(+),Goutanap virus
Hepe-Virga,NA,NA,Negevirus,Negev,ssRNA(+),Negevirus Nona 1
Hepe-Virga,NA,NA,Negevirus,Negev,ssRNA(+),Dezidougou virus
Hepe-Virga,NA,Togaviridae,NA,Toga,ssRNA(+),Venezuelan equine encephalitis virus
Hepe-Virga,Tymovirales,Tymoviridae,Maculavirus,Tymo,ssRNA(+),Culex originated Tymoviridae-like virus
Hepe-Virga,Tymovirales,Tymoviridae,Maculavirus,Tymo,ssRNA(+),Bombyx mori Macula-like virus
Hepe-Virga,Tymovirales,Tymoviridae,Maculavirus,Tymo,ssRNA(+),Fig fleck-associated virus
Hepe-Virga,Tymovirales,Tymoviridae,Marafivirus,Tymo,ssRNA(+),Grapevine asteroid mosaic-associated virus
Hepe-Virga,Tymovirales,Tymoviridae,Maculavirus,Tymo,ssRNA(+),Grapevine Red Globe virus
Hepe-Virga,Tymovirales,Tymoviridae,Marafivirus,Tymo,ssRNA(+),Grapevine rupestris vein feathering virus
Hepe-Virga,Tymovirales,Tymoviridae,Marafivirus,Tymo,ssRNA(+),Medicago sativa marafivirus 1
Hepe-Virga,Tymovirales,Tymoviridae,Marafivirus,Tymo,ssRNA(+),Nectarine marafivirus M
Hepe-Virga,Tymovirales,Tymoviridae,Marafivirus,Tymo,ssRNA(+),Olive latent virus 3
Hepe-Virga,Tymovirales,Tymoviridae,Marafivirus,Tymo,ssRNA(+),Peach virus D
